resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,workout_type,average_cadence,average_temp,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules
2,Evening Weight Training,0.0,2676,2676,0.0,WeightTraining,WeightTraining,14626660925,2025-05-28T23:42:42Z,2025-05-28T19:42:42Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,0,0,1,0,True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,114.3,164.0,True,True,0.0,0.0,15607875850.0,15607875850,garmin_ping_443319812250,False,0,0,False,142220621,1,a14626660925,,2,,,,,,,,
2,Counting Up with Runna ✅,0.0,2671,2671,0.0,Workout,Workout,14626114278,2025-05-28T23:42:35Z,2025-05-28T19:42:35Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,False,False,True,False,followers_only,False,,[],[],0.0,0.0,False,,,False,False,,,,,,False,0,0,False,142220621,1,a14626114278,,2,,,,,,,,
2,Evening Run,6126.8,2261,2447,30.0,Run,Run,14615609372,2025-05-27T22:45:00Z,2025-05-27T18:45:00Z,(GMT-05:00) America/New_York,-14400.0,,,,1,0,0,1,0,False,False,False,False,followers_only,False,,"[42.335901, -71.110248]","[42.335627, -71.110569]",2.71,3.42,True,167.0,184.0,True,True,31.0,7.2,15596020648.0,15596020648,garmin_ping_442964706526,False,0,1,False,142220621,1,a14615609372,}ikaG`c`qLPP\VNB\DnAn@^Xb@`@Zd@d@V\J\@ZMp@GDFPf@^Z`@Jn@A\@t@HVJZTh@RbAd@l@`@r@`@j@^rAt@t@TlAThBB`AH`@ZDJ@XPRp@d@RHh@LNHJJ^Pd@Df@KZCbAXTDj@DzAA`@JJFPLPVPj@Lz@NzABr@X`Bz@~ANVL\HHNDJHNDTLL@b@?|@G`ABHCj@H^VLNLDDRYx@Ir@Dv@FXJT`@l@l@p@j@|@^^x@h@NP`@t@PTn@zAp@lAVTp@Zb@^HDZ?lA]dB]XMVE~@[n@]REj@HRA~Ak@RCx@HLDbBRRCFE\_@JUDY?g@Gm@Dc@H[\i@Rg@D{@De@\{@^oAFW@q@Ou@Uo@iA_BO]y@_AMWSUc@u@Sg@MMi@WMMSKGE[CiA@]Eg@Oo@GoA@[AeB]_A]UCGDUZIRIfAgAlBKTIVEv@RbBE|ADjBALQ\GFODa@@[Ec@OYQUUi@q@OMMEW?k@L[@eASUAUUq@WEEY?m@CcAJk@@UGUSWOIKYo@g@g@g@{@Oy@Cm@G[]qDUq@MOYM[KUA{@@SC_@?MEa@Es@U[Bc@L_@IM?s@c@a@Ke@So@a@OOCWGOMKWKQGWA_BAkAO]I_@OMCu@_@mAu@yAaA_A[SOWIi@YeASa@AWBU?OGu@c@Qe@IMO?cATWASIe@Wc@a@OUa@]o@_@_@MOKe@I,2,,89.0,25.0,244.8,341.0,235.0,True,552.6
2,Afternoon Hike,3427.9,3666,4836,95.0,Hike,Hike,14604959778,2025-05-26T21:06:17Z,2025-05-26T17:06:17Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,False,False,False,False,followers_only,False,,"[42.217749, -71.113604]","[42.219932, -71.118712]",0.935,1.8,True,102.5,145.0,True,True,200.0,75.4,15584596609.0,15584596609,garmin_ping_442624640103,False,0,0,False,142220621,1,a14604959778,ult`Ghh`qLJ]Lm@HQ@MFIDQ`@_@LSF_@?U@_@L_@Bq@`@w@HMHWP_@T_@?EBC@BC?DYFIVs@Xe@LIDDBH?NCJBV?ACDCPKZCBCE@?CT?VBLAJD@BPMfA]jACPAJJXDF\HBJV\JBr@DDAHGVRHBTKRCTXHTRP\ABEECBA@DLGFBBDND@]ACG@FADDAB@??CEDB?C?@E?BBAE?@C@B@EAH?ECD@CA@@@AC?@AE?FACF@EA?A@BBE@HDICMAAID@??B?ELKB?AC@@BEEFBFCAAK?BDQ@?EPHHj@FZML?LFC@H?b@Vd@\x@VRB\d@XP~@v@JRVnADb@BvA?d@C\_@C[NM?CICg@?qAQk@QQ]@OLCHAFBHDE?BCA@F?HABE@So@AGUm@KSB@AAFGLCTDLNL^ZL\ZHTBN?bABr@JHf@ST?BBHl@@NCTKNa@ZMBs@AWM]YIM[QUEUOc@q@a@]_@UMSM`@Q^Md@WHmAl@c@DQFw@?GE_@G]S_AUa@UYYQI]Ic@Q]YUE[Qg@c@_@o@I[Gk@CIII[?MJIJK^IHKBSC_Ae@SEM?a@OS?[FKJKTUTYr@w@pAKJa@TYv@OTCPa@l@ARDbAGTDJ?r@CBCZENMPMDGFCL@P,2,,54.1,,,,,,
2,Evening Weight Training,0.0,3622,3622,0.0,WeightTraining,WeightTraining,14574874433,2025-05-23T23:36:48Z,2025-05-23T19:36:48Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,0,0,1,0,True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,115.3,160.0,True,True,0.0,0.0,15552143434.0,15552143434,garmin_ping_441683970344,False,0,0,False,142220621,1,a14574874433,,2,,,,,,,,
2,Upper Body Lift with Runna ✅,0.0,2943,2943,0.0,Workout,Workout,14574803694,2025-05-23T23:36:46Z,2025-05-23T19:36:46Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,False,False,True,False,followers_only,False,,[],[],0.0,0.0,False,,,False,False,,,,,,False,0,0,False,142220621,1,a14574803694,,2,,,,,,,,
2,Evening Stair-Stepper,0.0,329,329,0.0,StairStepper,StairStepper,14545251110,2025-05-20T23:18:14Z,2025-05-20T19:18:14Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,0,0,1,0,True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,145.7,160.0,True,True,0.0,0.0,15520289556.0,15520289556,garmin_ping_440704667013,False,0,0,False,142220621,1,a14545251110,,2,,61.9,,,,,,
2,Evening Weight Training,0.0,3229,3229,0.0,WeightTraining,WeightTraining,14545206773,2025-05-20T22:23:45Z,2025-05-20T18:23:45Z,(GMT-04:00) America/Anguilla,-14400.0,,,,0,0,0,1,0,True,False,False,False,followers_only,False,,[],[],0.0,0.0,True,114.7,157.0,True,True,0.0,0.0,15520242893.0,15520242893,garmin_ping_440703272008,False,0,0,False,142220621,1,a14545206773,,2,,,,,,,,
2,Loading Up with Runna ✅,0.0,3214,3214,0.0,Workout,Workout,14545196178,2025-05-20T22:23:43Z,2025-05-20T18:23:43Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,False,False,True,False,followers_only,False,,[],[],0.0,0.0,False,,,False,False,,,,,,False,0,0,False,142220621,1,a14545196178,,2,,,,,,,,
2,0.10mi Repeats with Runna ✅,6110.9,2290,2327,0.0,Run,Run,14534708322,2025-05-20T00:11:47Z,2025-05-19T20:11:47Z,(GMT-05:00) America/New_York,-14400.0,,,,0,0,0,1,0,True,False,False,False,followers_only,False,,[],[],2.668,3.183,False,,,False,False,0.0,0.0,15509035965.0,15509035965,aee951f1-476b-4d93-be8b-9e755b6883c8.fit,False,0,0,False,142220621,1,a14534708322,,2,,,,,,,,
